Fixed time simulation start ######################################
hazard_threshold_val;vol_cntr1_val;vol_cntr_pa_val;framework_pa_val;data_save_pa_val;time;shtdwn_counter;clk_counter;trace_rom_addr;
4320;1000;10528;13530;11524;1316665 ns;166;29124;758;
4330;1000;10528;13530;11524;1316665 ns;166;29124;758;
4340;1000;10519;13700;11689;1318775 ns;166;29335;785;
4350;1000;10519;13700;11689;1318775 ns;166;29335;785;
4360;1000;10519;13700;11689;1318775 ns;166;29335;785;
4370;1000;10519;13700;11689;1318775 ns;166;29335;785;
4380;1000;10519;13700;11689;1318775 ns;166;29335;785;
4390;1000;10519;13700;11689;1318775 ns;166;29335;785;
4400;1000;10519;13700;11689;1318775 ns;166;29335;785;
4410;1000;10519;13700;11689;1318775 ns;166;29335;785;
4420;1000;10519;13700;11689;1318775 ns;166;29335;785;
4430;1000;10519;13700;11689;1318775 ns;166;29335;785;
4440;1000;10519;13700;11689;1318775 ns;166;29335;785;
4450;1000;10519;13700;11689;1318775 ns;166;29335;785;
4460;1000;10519;13700;11689;1318775 ns;166;29335;785;
4470;1000;10629;14421;12348;1354365 ns;172;30430;1229;
4480;1000;10629;14421;12348;1354365 ns;172;30430;1229;
4490;1000;10629;14421;12348;1354365 ns;172;30430;1229;
4500;1000;10629;14421;12348;1354365 ns;172;30430;1229;
4510;1000;10629;14421;12348;1354365 ns;172;30430;1229;
4520;1000;10629;14421;12348;1354365 ns;172;30430;1229;
4530;1000;10626;15000;12850;1431355 ns;179;31225;622;
4540;1000;10816;15489;13330;1443715 ns;182;32077;776;
4550;1000;10816;15489;13330;1443715 ns;182;32077;776;
4560;1000;10816;15489;13330;1443715 ns;182;32077;776;
4570;1000;10956;16333;14121;1481285 ns;188;33370;1246;
4580;1000;10956;16333;14121;1481285 ns;188;33370;1246;
4590;1000;11027;16590;14339;1547105 ns;193;33824;499;
4600;1000;11027;16590;14339;1547105 ns;193;33824;499;
4610;1000;11027;16590;14339;1547105 ns;193;33824;499;
4620;1000;11027;16590;14339;1547105 ns;193;33824;499;
4630;1000;11027;16590;14339;1547105 ns;193;33824;499;
4640;1000;11027;16590;14339;1547105 ns;193;33824;499;
4650;1000;11027;16590;14339;1547105 ns;193;33824;499;
