Fixed time simulation start ######################################
period_bakup_clks;vol_cntr1_val;vol_cntr_pa_val;framework_pa_val;data_save_pa_val;time;shtdwn_counter;clk_counter;trace_rom_addr;
110;191735 ns;24;4383;827;3459;672;301;250;
112;192645 ns;24;4474;838;3536;680;311;250;
114;192665 ns;24;4476;838;3543;678;309;250;
116;192685 ns;24;4478;838;3547;676;307;250;
118;216385 ns;27;4792;1135;3781;735;323;250;
120;192095 ns;24;4419;831;3514;658;289;250;
122;192095 ns;24;4419;831;3515;658;289;250;
124;192095 ns;24;4419;831;3515;658;289;250;
126;192095 ns;24;4419;831;3515;658;289;250;
128;190115 ns;23;4229;806;3369;626;272;250;
130;189755 ns;23;4193;802;3333;626;272;250;
132;189755 ns;23;4193;802;3333;626;272;250;
134;189755 ns;23;4193;802;3333;626;272;250;
136;189755 ns;23;4193;802;3341;624;266;250;
138;187935 ns;22;4019;779;3211;589;248;250;
140;187955 ns;22;4021;779;3218;585;244;250;
142;187975 ns;22;4023;780;3226;581;238;250;
144;191915 ns;24;4401;829;3542;624;251;250;
146;188375 ns;22;4063;785;3276;574;232;250;
148;188215 ns;22;4047;783;3266;571;227;250;
150;188235 ns;22;4049;783;3274;565;221;250;
152;188255 ns;22;4051;783;3282;559;215;250;
154;188275 ns;22;4053;783;3290;553;209;250;
156;190295 ns;23;4247;809;3470;564;205;250;
158;192455 ns;24;4455;836;3642;594;217;250;
160;192455 ns;24;4455;836;3648;590;213;250;
162;192455 ns;24;4455;836;3653;586;209;250;
164;191375 ns;24;4347;822;3553;582;205;250;
166;191285 ns;24;4338;821;3556;578;193;250;
168;191285 ns;24;4338;821;3568;566;181;250;
170;191285 ns;24;4338;821;3580;554;169;250;
172;191285 ns;24;4338;821;3596;541;154;250;
174;217575 ns;27;4911;1150;4103;586;157;250;
176;217595 ns;27;4913;1150;4121;574;145;250;
178;217615 ns;27;4915;1150;4137;562;133;250;
180;225155 ns;28;5277;1244;4467;583;140;250;
182;349525 ns;44;7962;1229;6758;865;187;250;
184;349525 ns;44;7962;1229;6770;865;187;250;
186;349525 ns;44;7962;1229;6776;865;187;250;
188;349525 ns;44;7962;1229;6779;865;187;250;
190;349525 ns;44;7962;1229;6785;865;181;250;
192;343175 ns;43;7719;1150;6570;843;175;250;
194;343195 ns;43;7721;1150;6578;837;169;250;
196;343215 ns;43;7723;1150;6586;831;163;250;
198;343235 ns;43;7725;1150;6594;825;157;250;
200;316255 ns;39;7091;813;6070;742;134;250;
202;316255 ns;39;7091;813;6076;736;128;250;
204;316255 ns;39;7091;813;6082;730;122;250;
206;441855 ns;55;9899;813;8495;1014;170;250;
208;441855 ns;55;9899;813;8503;1014;170;250;
210;440955 ns;55;9809;802;8417;1014;170;250;
212;440955 ns;55;9809;802;8417;1014;170;250;
214;440955 ns;55;9809;802;8417;1014;170;250;
216;440955 ns;55;9809;802;8417;1014;170;250;
218;438865 ns;54;9608;776;8260;982;153;250;
220;438865 ns;54;9608;776;8260;982;153;250;
222;438865 ns;54;9608;776;8260;982;153;250;
224;438865 ns;54;9608;776;8260;982;153;250;
226;438865 ns;54;9608;776;8260;982;153;250;
228;427815 ns;51;8887;638;7605;934;153;250;
230;427815 ns;51;8887;638;7605;934;153;250;
232;427815 ns;51;8887;638;7605;934;153;250;
234;427815 ns;51;8887;638;7605;934;153;250;
236;351045 ns;44;8114;1248;6972;833;153;250;
238;351065 ns;44;8116;1248;6974;833;153;250;
240;351085 ns;44;8118;1248;6976;833;153;250;
242;351105 ns;44;8120;1249;6978;833;153;250;
244;351125 ns;44;8122;1249;6980;833;153;250;
246;350155 ns;44;8025;1237;6905;817;136;250;
248;350155 ns;44;8025;1237;6905;817;136;250;
250;350155 ns;44;8025;1237;6905;817;136;250;
252;350155 ns;44;8025;1237;6905;817;136;250;
254;349435 ns;44;7953;1228;6833;817;136;250;
256;349435 ns;44;7953;1228;6833;817;136;250;
258;349435 ns;44;7953;1228;6833;817;136;250;
260;349435 ns;44;7953;1228;6833;817;136;250;
262;349435 ns;44;7953;1228;6833;817;136;250;
264;348715 ns;44;7881;1219;6761;817;136;250;
266;348715 ns;44;7881;1219;6761;817;136;250;
268;348715 ns;44;7881;1219;6761;817;136;250;
270;348715 ns;44;7881;1219;6761;817;136;250;
272;343435 ns;43;7745;1153;6647;801;136;250;
274;343455 ns;43;7747;1153;6649;801;136;250;
276;343475 ns;43;7749;1153;6651;801;136;250;
278;343495 ns;43;7751;1154;6653;801;136;250;
280;343515 ns;43;7753;1154;6655;801;136;250;
282;342635 ns;43;7665;1143;6589;785;119;250;
284;342635 ns;43;7665;1143;6589;785;119;250;
286;342635 ns;43;7665;1143;6589;785;119;250;
288;342635 ns;43;7665;1143;6589;785;119;250;
290;316165 ns;39;7082;812;6088;724;119;250;
292;316165 ns;39;7082;812;6091;724;119;250;
294;316165 ns;39;7082;812;6097;724;113;250;
296;316165 ns;39;7082;812;6103;718;107;250;
298;316165 ns;39;7082;812;6109;712;101;250;
300;315535 ns;39;7019;804;6052;706;95;250;
302;315535 ns;39;7019;804;6058;700;89;250;
304;315535 ns;39;7019;804;6064;694;83;250;
306;315535 ns;39;7019;804;6070;688;77;250;
308;314905 ns;39;6956;796;6013;682;71;250;
310;473865 ns;60;10644;1213;9202;1043;119;250;
312;473865 ns;60;10644;1213;9210;1043;119;250;
314;473865 ns;60;10644;1213;9214;1043;119;250;
316;473865 ns;60;10644;1213;9218;1043;119;250;
318;439675 ns;54;9689;786;8416;934;96;250;
320;439675 ns;54;9689;786;8422;928;90;250;
322;439675 ns;54;9689;786;8428;922;84;250;
324;439675 ns;54;9689;786;8434;916;78;250;
326;439135 ns;54;9635;779;8386;910;72;250;
328;439135 ns;54;9635;779;8392;904;66;250;
330;439135 ns;54;9635;779;8398;898;60;250;
332;439135 ns;54;9635;779;8404;892;54;250;
334;815935 ns;102;18059;779;15763;1660;102;250;
336;812515 ns;101;17773;736;15511;1644;102;250;
338;812515 ns;101;17773;736;15517;1644;102;250;
340;812515 ns;101;17773;736;15517;1644;102;250;
342;812515 ns;101;17773;736;15517;1644;102;250;
344;804615 ns;99;17311;638;15099;1612;102;250;
346;804615 ns;99;17311;638;15099;1612;102;250;
348;804615 ns;99;17311;638;15099;1612;102;250;
350;804615 ns;99;17311;638;15099;1612;102;250;
352;804615 ns;99;17311;638;15099;1612;102;250;
354;732555 ns;93;16713;1307;14619;1527;102;250;
356;732555 ns;93;16713;1307;14619;1527;102;250;
358;732555 ns;93;16713;1307;14619;1527;102;250;
360;732555 ns;93;16713;1307;14619;1527;102;250;
362;732015 ns;93;16659;1300;14565;1527;102;250;
364;732015 ns;93;16659;1300;14571;1527;102;250;
366;732015 ns;93;16659;1300;14583;1527;90;250;
368;732015 ns;93;16659;1300;14595;1515;78;250;
370;732015 ns;93;16659;1300;14607;1503;66;250;
372;728215 ns;92;16575;1253;14570;1465;45;250;
